model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,rung,n,accuracy,parse_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,1,30,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,2,30,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,3,40,0.475,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,1,30,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,2,30,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,3,40,0.475,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,1,30,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,2,30,0.5,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,3,40,0.475,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,1,30,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,2,30,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,3,40,0.65,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,1,30,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,2,30,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,3,40,0.575,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,1,30,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,2,30,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,3,40,0.575,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,1,30,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,2,30,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,3,40,0.475,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,1,30,0.36666666666666664,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,2,30,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,3,40,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,1,30,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,2,30,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,3,40,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,1,30,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,2,30,0.4,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,3,40,0.45,1.0
