model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,prompt_condition,n,accuracy,parse_rate,invalid_rate,latency_sec,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,Formalized Input,640,0.50625,1.0,0.0,0.01183154539394304,0.0111731843575419,0.0111731843575419,0.0,0.9888268156424581,0.0,0.0111731843575419,0.0111731843575419,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,Natural Language,640,0.5,1.0,0.0,0.010931521289239703,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,NL + Formal Scaffold,640,0.5,1.0,0.0,0.01128507292578428,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,NL + Variables + Graph,640,0.5,1.0,0.0,0.01046954138982978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,NL + Variables + Formal Query,640,0.5,0.9921875,0.0078125,0.012729518593005145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,Formalized Input,640,0.5640625,1.0,0.0,0.0343917142703503,0.3770949720670391,0.2569832402234637,0.12011173184357542,0.23743016759776536,0.3854748603351955,0.2569832402234637,0.13687150837988826,0.0
qwen3_4b,Qwen3-4B,main,main,nl,Natural Language,640,0.5953125,1.0,0.0,0.029189465354283996,0.40782122905027934,0.2905027932960894,0.11731843575418995,0.20949720670391062,0.38268156424581007,0.2905027932960894,0.17318435754189948,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,NL + Formal Scaffold,640,0.56875,1.0,0.0,0.0337529721378814,0.40782122905027934,0.28212290502793297,0.12569832402234637,0.19273743016759776,0.3994413407821229,0.28212290502793297,0.1564245810055866,0.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,NL + Variables + Graph,640,0.5953125,1.0,0.0,0.03209551978125087,0.45251396648044695,0.3463687150837989,0.10614525139664804,0.23184357541899442,0.31564245810055863,0.3463687150837989,0.24022346368715086,0.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,NL + Variables + Formal Query,640,0.56875,1.0,0.0,0.03286622753803381,0.39664804469273746,0.2709497206703911,0.12569832402234637,0.1787709497206704,0.4245810055865922,0.2709497206703911,0.1452513966480447,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,Formalized Input,640,0.553125,1.0,0.0,0.06229657394778765,0.40782122905027934,0.276536312849162,0.13128491620111732,0.2988826815642458,0.29329608938547486,0.276536312849162,0.1452513966480447,0.0
qwen3_8b,Qwen3-8B,main,main,nl,Natural Language,640,0.5609375,1.0,0.0,0.05396837748539833,0.4441340782122905,0.3016759776536313,0.1424581005586592,0.33798882681564246,0.21787709497206703,0.3016759776536313,0.1592178770949721,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,NL + Formal Scaffold,640,0.5453125,1.0,0.0,0.06253209956157656,0.4720670391061452,0.3128491620111732,0.15921787709497207,0.2877094972067039,0.24022346368715083,0.3128491620111732,0.15363128491620112,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,NL + Variables + Graph,640,0.5609375,1.0,0.0,0.0608230323890893,0.46089385474860334,0.30726256983240224,0.15363128491620112,0.2681564245810056,0.2709497206703911,0.30726256983240224,0.15363128491620112,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,NL + Variables + Formal Query,640,0.5375,1.0,0.0,0.061765487483535206,0.41620111731843573,0.26256983240223464,0.15363128491620112,0.2430167597765363,0.3407821229050279,0.26256983240223464,0.10893854748603352,0.0
